"Name","Remote","Head","Branches","Tags","ReferencePath"
"0x401gg_dwm_lut-windows-25h2","https://github.com/0x401gg/dwm_lut-windows-25h2.git","25222519ce43363ed4cc830af61e3dc583e21176","origin/25-crash-when-trying-to-load-hdr-lut;origin;origin/lauralex-patch-1;origin/lauralex-patch-2;origin/main;origin/master;origin/win24h2","v3.9.0;v3.9.1-hotfix;v3.9.2;v3.9.3;v3.9.4;v3.9.5;v3.9.6;v3.9.7;v4.0.0;v4.0.1;v4.0.2;v4.1.0;v4.1.0-diag1;v4.1.0-test1;v4.1.0-test2;v4.1.0-test3;v4.1.1-ui-preview1","0x401gg_dwm_lut-windows-25h2"
"10oo01sir_dwm_lut","https://github.com/10oo01sir/dwm_lut.git","2df0415fea29c4b0149f753b2334fd20fbf673d0","origin;origin/master","","forks\10oo01sir_dwm_lut"
"Adebeci_dwm_lut","https://github.com/Adebeci/dwm_lut.git","2df0415fea29c4b0149f753b2334fd20fbf673d0","origin;origin/master","","forks\Adebeci_dwm_lut"
"chanceyans_dwm_lut","https://github.com/chanceyans/dwm_lut.git","2df0415fea29c4b0149f753b2334fd20fbf673d0","origin;origin/master","","forks\chanceyans_dwm_lut"
"ed1ii_dwm_lut_fixed","https://github.com/ed1ii/dwm_lut_fixed.git","69bf735a94883652a35a3edef1592a3333457084","origin;origin/master","1.0.0-25H2;1.0.1-25H2;v1.0.2_25H2;v1.0.3_25H2;v1.0.4_25H2;v1.0.5_25H2;v1.0.6_25H2;v1.0.7_25H2;v1.0.8_25H2","ed1ii_dwm_lut_fixed"
"hadoooooouken_dwm_lut_fps_boost","https://github.com/hadoooooouken/dwm_lut_fps_boost.git","01c6e7ae5ce802e17252cc186fd717a8cfbe4b0a","origin;origin/master","1.0.0;1.0.1;1.0.2;1.0.3;1.0.4","hadoooooouken_dwm_lut_fps_boost"
"jmwangde3_dwm_lut","https://github.com/jmwangde3/dwm_lut.git","4751593a46abf886e5cec779607769997326cd34","origin;origin/master","","forks\jmwangde3_dwm_lut"
"kxrma0_dwm_lut","https://github.com/kxrma0/dwm_lut.git","2df0415fea29c4b0149f753b2334fd20fbf673d0","origin;origin/master","","forks\kxrma0_dwm_lut"
"lauralex_dwm_lut","https://github.com/lauralex/dwm_lut.git","68aab036831699ab27209ccace8ff4401b609704","origin/25-crash-when-trying-to-load-hdr-lut;origin;origin/lauralex-patch-1;origin/lauralex-patch-2;origin/master;origin/win24h2","v3.9.0;v3.9.1-hotfix;v3.9.2;v3.9.3;v3.9.4;v3.9.5;v3.9.6;v3.9.7;v4.0.0;v4.0.1;v4.0.2","lauralex_dwm_lut"
"ledoge_dwm_lut","https://github.com/ledoge/dwm_lut.git","2df0415fea29c4b0149f753b2334fd20fbf673d0","origin;origin/args;origin/debugging;origin/gui;origin/hdr_test;origin/master;origin/new_dithering;origin/w11","v1.0;v1.1;v1.1a;v2.0;v2.1;v2.1-w11;v2.2;v2.3a;v2.4a;v3.0;v3.1;v3.2;v3.3;v3.4;v3.5;v3.6;v3.7;v3.8","ledoge_dwm_lut"
"lllllllllllll5796_dwm_lut","https://github.com/lllllllllllll5796/dwm_lut.git","2df0415fea29c4b0149f753b2334fd20fbf673d0","origin;origin/master","","forks\lllllllllllll5796_dwm_lut"
"miguelgomes971_dwm_lut","https://github.com/miguelgomes971/dwm_lut.git","2df0415fea29c4b0149f753b2334fd20fbf673d0","origin;origin/master","","forks\miguelgomes971_dwm_lut"
"MonsterZelek_dwm_lut","https://github.com/MonsterZelek/dwm_lut.git","4751593a46abf886e5cec779607769997326cd34","origin;origin/args;origin/debugging;origin/gui;origin/hdr_test;origin/master;origin/new_dithering;origin/w11","v1.0;v1.1;v1.1a;v2.0;v2.1;v2.1-w11;v2.2;v2.3a;v2.4a;v3.0;v3.1;v3.2;v3.3;v3.4;v3.5;v3.6;v3.7;v3.8","forks\MonsterZelek_dwm_lut"
"novvely_dwm_lut","https://github.com/novvely/dwm_lut.git","2df0415fea29c4b0149f753b2334fd20fbf673d0","origin;origin/master","","forks\novvely_dwm_lut"
"RobWilton3000_DwmLUTGUI-copy","https://github.com/RobWilton3000/DwmLUTGUI-copy.git","4751593a46abf886e5cec779607769997326cd34","origin;origin/args;origin/debugging;origin/gui;origin/hdr_test;origin/master;origin/new_dithering;origin/w11","v1.0;v1.1;v1.1a;v2.0;v2.1;v2.1-w11;v2.2;v2.3a;v2.4a;v3.0;v3.1;v3.2;v3.3;v3.4;v3.5;v3.6;v3.7;v3.8","RobWilton3000_DwmLUTGUI-copy"
"Tonyhzk_dwm_lut","https://github.com/Tonyhzk/dwm_lut.git","2df0415fea29c4b0149f753b2334fd20fbf673d0","origin;origin/master","","forks\Tonyhzk_dwm_lut"
"toropovm_dwm_lut","https://github.com/toropovm/dwm_lut.git","2df0415fea29c4b0149f753b2334fd20fbf673d0","origin;origin/args;origin/debugging;origin/gui;origin/hdr_test;origin/master;origin/new_dithering;origin/w11","v1.0;v1.1;v1.1a;v2.0;v2.1;v2.1-w11;v2.2;v2.3a;v2.4a;v3.0;v3.1;v3.2;v3.3;v3.4;v3.5;v3.6;v3.7;v3.8","forks\toropovm_dwm_lut"
"vilmire_dwm_lut","https://github.com/vilmire/dwm_lut.git","4751593a46abf886e5cec779607769997326cd34","origin;origin/args;origin/debugging;origin/gui;origin/hdr_test;origin/master;origin/new_dithering;origin/w11","v1.0;v1.1;v1.1a;v2.0;v2.1;v2.1-w11;v2.2;v2.3a;v2.4a;v3.0;v3.1;v3.2;v3.3;v3.4;v3.5;v3.6;v3.7;v3.8","forks\vilmire_dwm_lut"
"Windowscoder_dwm_lut","https://github.com/Windowscoder/dwm_lut.git","9c3c37fe14056c05fd2d1878a3abf8d3e4d6b350","origin;origin/args;origin/debugging;origin/gui;origin/master;origin/new_dithering;origin/w11","v1.0;v1.1;v1.1a;v2.0;v2.1;v2.1-w11;v2.2","forks\Windowscoder_dwm_lut"
"ye-blue_dwm_lut","https://github.com/ye-blue/dwm_lut.git","2df0415fea29c4b0149f753b2334fd20fbf673d0","origin;origin/master","","forks\ye-blue_dwm_lut"
"yuaom_dwm_lut","https://github.com/yuaom/dwm_lut.git","2df0415fea29c4b0149f753b2334fd20fbf673d0","origin;origin/master","","forks\yuaom_dwm_lut"
